Comment,Cleaned_Comment
"Beliau bermain bensin di tengah api nyala ... Kebakar dah sampai gosong<br>padahal bisa menyenangkan fans ga usah pakai sombong ingin membuat karakter yg berbeda dari sumbernya, ingat film live action Disney yg hancur gara-gara melenceng dan aneh-aneh dari film aslinya",beliau bermain bensin api nyala kebakar dah gosongpadahal menyenangkan pakai sombong berbeda sumbernya live action disney hancur garagara melenceng anehaneh aslinya
"lagian abidzar kl ngerasa berat ngapain mau ambil peran dalem film ini deh. semua kerjaan kan emang berat, tergantung pembawaan diri sendiri aja gimana. so sad sih sama kru film yg pastinya udh kerja keras bikin film ini rampung tapi hasilnya malah nihil abis.",kl ngerasa berat ngapain ambil peran dalem deh kerjaan berat tergantung pembawaan gimana so sad kru pastinya kerja keras rampung hasilnya nihil abis
lebih banyak penonton youtube ini dari pada film itu 😂,penonton youtube
"Njirr, bener lagi 😅",njirr bener
"Semenjak menjadi anak yatim (kematian Ustad Jefri Al-Buchori pada tahun 2012), tingkah laku dia benar-benar berubah drastis. Apalagi ibunya/mantan istri almarhum yang diam-diam selingkuh dengan penyanyi (Kamu Ketahuan Pacaran Lagi) yang berakibat istri dari penyanyi itu minta pisah. Kasian aku sama armahum, merasa dirinya gagal jadi kepala keluarga. Andai dia tidak motoran dulu, pasti semua anggota keluarganya selamat dan tidak bertingkah aneh-aneh. RIP Ustad Jefri Al-Buchori!",semenjak anak yatim kematian ustad jefri albuchori 2012 tingkah laku benarbenar berubah drastis ibunyamantan istri almarhum diamdiam selingkuh penyanyi ketahuan pacaran berakibat istri penyanyi pisah kasian armahum gagal kepala keluarga andai motoran anggota keluarganya selamat bertingkah anehaneh rip ustad jefri albuchori
mendingan gua dah yg meranin daripada abizar 😅,mendingan dah meranin abizar
Rachel Zeigler versi kearifan lokal.😂,rachel zeigler versi kearifan lokal
awokawokawok,awokawokawok
"Mungkin ini penyebab produser film suka milih reza rahardian lagi reza rahardian lagi,  karena selalu save, baik secara acting maupun profesionalitas, Sekalinya pengen berkreasi dan berinovasi ya jadi begini 😅",penyebab produser suka milih reza rahardian reza rahardian save acting profesionalitas sekalinya pengen berkreasi berinovasi
"Setuju bgt bgt bgt, si abidzar minimal ganteng muka nya ngomong gitu, sorry aja",setuju minimal ganteng muka ngomong gitu sorry
"Kok remake mulu si, remake dari drakor lagi, gak malu tah?😅",remake mulu remake drakor malu tah
Maaf 🙏 aku mampir krn judulnya lucu 😅😂,maaf mampir krn judulnya lucu
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=712"">11:52</a> 😮",1152
Bola <br>Wibu<br>K-pop,bola wibukpop
&quot;Rule ke tiga jangan macem&quot; sama kpopers dan kdrama lovers&quot;<br>Meanwhile om&quot; botak podcaster,rule macem kpopers kdrama loversmeanwhile om botak podcaster
Jangan cari gara2 sm catlovers,cari gara2 sm catlovers
Makanya sekolah itu penting ya adik2,sekolah adik2
Lagian abidzar ngapain jd aktor? Kan bapaknya ustadz emaknya ustadzah. Dunia perfilm an itu kan bnyk menyalahi aturan. Kaya brpegangan dg yg bkn muhrim dll,ngapain jd bapaknya ustadz emaknya ustadzah dunia perfilm an bnyk menyalahi aturan kaya brpegangan dg bkn muhrim dll
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1055"">17:35</a> anjir cocok remake mahabarata",1735 anjir cocok remake mahabarata
Kasian ulet bulu (yono) udh susah2 masuk layar lebar eh malah kena cancel gegara abidzar,kasian ulet bulu yono susah2 masuk layar lebar eh kena cancel gegara
Ariel Tatum udh gk bisa gendong lgi😂<br>sekelas Vino G aktor kelas kakap aja ga berani rubah² karakter di miracle in cell wkwkwk mknya Vino smpai di apresiasi aktor dr korea nya dan sampai dibikin season 2.<br>JANGAN NGADI NGADI DEH DEKIL,ariel tatum gendong lgisekelas vino g kelas kakap berani rubah miracle in cell wkwkwk mknya vino smpai apresiasi dr korea dibikin season 2jangan ngadi ngadi deh dekil
Dunia hiburan indonesia bintang2 nya banyak arogan,dunia hiburan indonesia bintang2 arogan
"Yg fanatik bikin indonesia makin gelap,aslinya orang² yg fanatik dan baper itu yg bikin indo susah maju😂😂",fanatik indonesia gelapaslinya fanatik baper indo susah maju
"Hahaha setuju bgt sama komen itu, Cocokan jadi Aladin 😂",hahaha setuju komen cocokan aladin
"Ini alasan kenapa gua gk blh analisis film series di proposal skripsi gua, karna ditiap episodenya tuh punya narrative elements yg beda, mood themenya jg beda etc jadi bakal banyak data yg bakal masuk di skripisi gua yg kemungkinan banyak jg kontradiksi dan pembahasanya bakal kesana kemari, ini malah ngide ngubah series ke film ya malah bakal berubah drastis semuanyalah, cnth dr plot cerita aja pengenalan karakter, pemicu konflik, klimaks, turning point, resolusi udh pasti bakal singkat banget, yg mana kalo diseries pendalamannya pasti bakal intens, memang betul ekranisasi itu diperbolehkan tapi yg adopsi dr novel ke film aja banyak yg keskip pointnya, gmana yg dr series ke film pasti dr setiap elementnya baik yg intrinsik atau ekstrinsik harus banyak yg dicut. Dan dengan pdnya aktor itu bilang saya mau membuat karakter saya sendiri whaaaat 😂, itu mah bkn adopsi series ke film tapi emang kaga niat 😅",alasan blh analisis series proposal skripsi karna ditiap episodenya tuh narrative elements beda mood themenya jg beda etc data masuk skripisi jg kontradiksi pembahasanya kesana kemari ngide ngubah series berubah drastis semuanyalah cnth dr plot cerita pengenalan pemicu konflik klimaks turning point resolusi singkat diseries pendalamannya intens ekranisasi diperbolehkan adopsi dr novel keskip pointnya gmana dr series dr elementnya intrinsik ekstrinsik dicut pdnya what mah bkn adopsi series kaga niat
"nonton study grup pemeran utamanya harus belajar karakter yg mau dia peranin kurang lebih 8bulan, dan latihan bela diri, anaknya uj yg mau bawain remake busines proposal yg udah viral versi koreanya malah selengean nantangin kpopers, Giliran dihujat atas apa yg dia perbuat ngomongnya rasis😂<br>dan filmnya yg nonton cuman emaknya sama rombongan temen pengajian serta tetanga komplek😂😂😂",study grup pemeran utamanya belajar peranin 8bulan latihan bela anaknya uj bawain remake busines proposal viral versi koreanya selengean nantangin kpopers giliran dihujat perbuat ngomongnya rasisdan filmnya cuman emaknya rombongan temen pengajian tetanga komplek
"Jujur gw agak jijik sama abidzar, bukan gak suka.. keliatan sok paling keren padahal 😂😂😂<br>Tp kalo dy di boikot gara2 ulah dia berarti dy tolol bikin orang udah rugi.. dan gak salah gw gak suka😅",jujur jijik suka keliatan sok keren tp dy boikot gara2 ulah dy tolol rugi salah suka
Aktor tertolol yg pernah hidup di dunia konoha,tertolol hidup dunia konoha
Intro nya gg,intro gg
Abudzar harus byr gnti rugi. .,abudzar byr gnti rugi
Bct,bct
"Besok besok kalau mau film, baju yang melibatkan banyak fans te😂rtentu, tim marketing sama tim survey, riset dan tim pendalaman karakternya kerja lebih keras. Semangat semuanya",besok besok baju melibatkan tim marketing tim survey riset tim pendalaman karakternya kerja keras semangat
Pantes dibilang tolol😂 emg goblok bnget sumpah wkwk,pantes dibilang tolol emg goblok bnget sumpah wkwk
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1003"">16:43</a> ini sih. lu jualan sesuatu yg spesifik tapi lu malah ngeroasting pembelinya sampe di poin &quot;ini orang kenapa dah?&quot;. ya siapa yg mau beli dagangannya kalau begitu? service tidak ramah bintang satu",1643 jualan spesifik ngeroasting pembelinya sampe poin dah beli dagangannya service ramah bintang
"aktor sebesar JuJihoon aja melakukan riset sampai 3 bulan memahami tokoh dokter yang diperankan , sebelum syuting jadi dokter di trauma code, dan Boom hasilnya meledak. padahal track record drama dramanya udah bagus, fans nya banyak, tapi dia tetap berendah hati . ayolah para artis dan yang mau besar jadi artis serta industri film sinetron Indonesia, belajar dari korsel, industri mereka sangat amat serius, ini industri namanya  kalau mau maju, semua harus dikerjakan benar benar detail dan profesional meskipun genrenya drama komedi",jujihoon riset 3 memahami tokoh dokter diperankan syuting dokter trauma code boom hasilnya meledak track record drama dramanya bagus berendah hati ayolah artis artis industri sinetron indonesia belajar korsel industri serius industri namanya maju detail profesional genrenya drama komedi
INTINYA TOMBOLL ABIZAAARRRR KONTOLLLLLLLLLLLLLLL ----&gt;&gt;&gt; SIPALING GAK BUTUH PENONONTON . TUHH LIAT GARA GARA KELAKUAN LOO ARTIS ARTIS LAIN KENA IMBASNYAA SUMPAAHHH TOLOLLLLL SO SO IDEALISSS LOO MASIHH BOCILL ANJIINGG JANGAN SO LAH,intinya tomboll abizar kontol sipaling butuh penononton tuhh liat gara gara kelakuan loo artis artis kena imbasnyaa sumpaah tolol so so idealis loo masihh bocill anjiingg so
amit deh masa cowo gw disandingin sama tukang parkir 😂,amit deh cowo disandingin tukang parkir
Musik awalnya jd keinget maen O2Jam 🤣🤣,musik jd keinget maen o2jam
"Kalo pemikiran gua sih gini ya , si ariel tatum sampe bisa ngomong &quot; gabutuh penonton&quot; itu karna dia udh capek dan ga peduli soal film nya . Karna dia capek nyapuin kesalahan kesalahan temen temen nya yg blunder, sementara dia udh berusaha bertata bahasa yang bagus , pendalaman katakter yg bagus dan acting yg bagus . Tapi temennya ini ga sadar sadar dia blunder karna nyerang target market mereka sendiri yaitu K-drama lovers dan kpopers. Padahal kalo pemainnya humble dan rendah hati buat dapetin attention penonton pasti ga segitu penonton nya . Beda sama artis lain yang bintangin film remake yang humble dan respect banget sama film original nya . Dia malah ngecam target market nya sendiri . Sebenernya yang kasian ya ariel tatum dan crew film dan para para donatur nya film gagal cuma karna pemainnya ga profesional dan gatau target market nya .",pemikiran gini ariel tatum sampe ngomong gabutuh penonton karna capek peduli karna capek nyapuin kesalahan kesalahan temen temen blunder berusaha bertata bahasa bagus pendalaman katakter bagus acting bagus temennya sadar sadar blunder karna nyerang target market kdrama lovers kpopers pemainnya humble rendah hati dapetin attention penonton segitu penonton beda artis bintangin remake humble respect original ngecam target market sebenernya kasian ariel tatum crew donatur gagal karna pemainnya profesional gatau target market
Mending lu aja yg cocok jd sutradara nya 😬,mending cocok jd sutradara
zar tonton ini zar..malu maluin lo,zar tonton zarmalu maluin lo
masalahnya emang mukenye kek palkon,mukenye kek palkon
prinsip gue adalah ga mau nonton adaptasi luar negeri ke dalam negeri dan/atau dari komik atau animasi ke live action.,prinsip adaptasi negeri negeri danatau komik animasi live action
Lips servis 😂,lips servis
Masalahnya film ini remake... Dan judulnya sama kayak seriesnya yg super terkenal itu. Dan dy mau nyiptain karakter sendiri... Kocakkkk... Ya jangan mainin film remake.,remake judulnya kayak seriesnya super terkenal dy nyiptain kocak mainin remake
Filmya sih ringan dan cukup menghibur sih... Untuk bikin ketawa. Tapi kena cancel duluan... Jadi kasihan,filmya ringan menghibur ketawa kena cancel duluan kasihan
Artis terpintar tahun ini 😴😴😴,artis terpintar
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=1033"">17:13</a> Kenapa abidzar? Karena Reza lagi sibuk project lain mungkin, biasa kan dia mulu 😅",1713 reza sibuk project mulu
"Jujur aku gak suka sama pemain nya , maka nya gk nonoton <br>dan kaya gak pas gtu sama pemain nya , ya gtu lah pokok nya😬",jujur suka pemain nonoton kaya pas gtu pemain gtu pokok
I/10 cok sumpah ngakak,i10 cok sumpah ngakak
Music pas opening mantappp keren,music pas opening mantap keren
LOL ga expect review film ini bawa-bawa si Ernanda desainer jersey timnas 😅,lol expect review bawabawa ernanda desainer jersey timnas
Hadeh.... Perkara nya ude lebihin kasus korup ya. Heboooh,hadeh perkara ude lebihin korup heboh
Maksudnya &quot;rage bait&quot; biar banyak nonton malah ngak ada yg nonton😂... inilah dua sisi marketing Indonesia mereka merasa ngartiss kebal antis sampai ngomong gitu😂,maksudnya rage bait biar ngak sisi marketing indonesia ngartiss kebal antis ngomong gitu
Rachel zegler kedua 🙄,rachel zegler
"Umur kalian mirip,rambutnya juga mirip bg wkwkw",umur miriprambutnya bg wkwkw
"Abidzar : Bang, udah bang 😭",
nah puas kan netizen kalo marah2 diwakilin😂,puas netizen marah2 diwakilin
Gue aja lari kalo ketemu wibu,lari ketemu wibu
Nilai 6/10 aja udh Kebagusan bang😂😂😂,nilai 610 kebagusan
"ibaratnya gw punya usaha trus gw rekrut marketing buat jualin produk gw, eh marketing gw malah caci maki calon pembeli seolah2 dia yg punya perusahaan, sebagai owner masih bagus klo marketingnya cuma gw pecat doang gak sampe gw anj*ng2in",usaha trus rekrut marketing jualin produk eh marketing caci maki calon pembeli seolah2 perusahaan owner bagus marketingnya pecat doang sampe anjng2in
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=415"">6:55</a> - <a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=474"">7:54</a> 👍🏻",655 754
"Emang ni bocah artis karbitan,ganteng kagak malah belagu😂😂",ni bocah artis karbitanganteng kagak belagu
"Jujur gw pengen ngakak, krn gw br tau Indonesia setidak kreatif itu kah? sampe harus slalu remake drakor apalagi genre romcom..plis, gw pas masa remaja novel agnes jesica aja blm smua seri gw baca..ada jutaan teenlit dr penulis2 novel hebat d Indonesia dr zaman gw remaja sampe detik ini masih sangat amat banyak novel romance teenlit yg idenya fresh dll, blm diangkat para sutradara..KENAPA HARUS BANGET remake drakor sih? Cerita2 romcom nya Indo tuh lebih relate sm kondisi budaya kita drpd remake drakor..kita punya nilai sendiri loh, tp malah milihnya remake drakor..pls, budgetnya aja beda bgt 😂 komik webtoon Indo yg dibikin bioskop aja msh byk ngaco tuh trutama Eggnoid..astaga webtoon kecintaan gw jd ancur dr imajinasi total pas dibuat Indo..klo blm siap genre2 begitu, yauda ambil ajalah teenlit2 yg ringan, g makan budget tp alur crita fresh dll..apa yg salah dan kurang, coba evaluasi liat drakornya bukan tertarik remake nya..drakor byk bgt mrk nunjukin bangunan2 iconic mrk dan nunjukin life style d sana..knp sih g coba bikin yg begini d Indo..byk banget loh kesempatan ngulik negara ini, secara budaya kita itu dr ribuan suku loh..novel jg ada banyak..g perlu lah mencuri identitas drakor..Indonesia itu hrs mulai berani punya identitas, jadi diri sendiri dan kenali jati diri kelebihan negara ini..d drakor bahkan isu2 politik diambil sbg cuplikan sindiran satir d drakor nya..napa g coba kritik2 koruptor d drama nya Indo dll",jujur pengen ngakak krn br indonesia setidak kreatif kah sampe slalu remake drakor genre romcomplis pas remaja novel agnes jesica blm smua seri bacaada jutaan teenlit dr penulis2 novel hebat d indonesia dr zaman remaja sampe detik novel romance teenlit idenya fresh dll blm diangkat sutradarakenapa remake drakor cerita2 romcom indo tuh relate sm kondisi budaya drpd remake drakorkita nilai loh tp milihnya remake drakorpls budgetnya beda komik webtoon indo dibikin bioskop msh byk ngaco tuh trutama eggnoidastaga webtoon kecintaan jd ancur dr imajinasi total pas indoklo blm genre2 yauda ambil ajalah teenlit2 ringan g makan budget tp alur crita fresh dllapa salah coba evaluasi liat drakornya tertarik remake nyadrakor byk mrk nunjukin bangunan2 iconic mrk nunjukin life style d sanaknp g coba d indobyk loh kesempatan ngulik negara budaya dr ribuan suku lohnovel jg banyakg mencuri identitas drakorindonesia hrs berani identitas kenali jati kelebihan negara inid drakor isu2 politik diambil sbg cuplikan sindiran satir d drakor nyanapa g coba kritik2 koruptor d drama indo dll
"Aku setuju sih, tapi menurutku film Indonesia itu genre nya horror terus. Itu yang bikin bosenin, ngelihat film yg horror mistis tuh udh ga logis lah. Jadi kebanyakan pasti nonton drama dari negara lain. Misalnya film yg aku terakhir nonton di bioskop &#39;pengantin iblis&#39; sumpah itu film ga beda jauh dari film horor dari Indonesia kebanyakan.",setuju menurutku indonesia genre horror bosenin ngelihat horror mistis tuh logis kebanyakan drama negara bioskop pengantin iblis sumpah beda horor indonesia kebanyakan
Ngene iki ngisi ngisini Indonesia lee😢,ngene iki ngisi ngisini indonesia lee
Jadi inget my love from the star yg di buat fersi indo. Itu baru menurut aku bagus banget sihh❤,inget my love from the star fersi indo bagus sihh
Mulut mu harimau😅,mulut mu harimau
"gakebayang yang tugas nya jadi keeper mereka selama promo hidupnya seambruk apa skrg🤣<br><br>btw kalo artis lg promo film, biasanya/harusnya ada keeper nya buat ngerem2in si artis. atau nyeleksi mana yg harus dibuang/dijawab ulang",gakebayang tugas keeper promo hidupnya seambruk skrgbtw artis lg promo biasanyaharusnya keeper ngerem2in artis nyeleksi dibuangdijawab ulang
"Kalau kata gue sih,JANGAN SONGONG sih.SIMPLE BANGET.Entah lu itu siapa,mau elunya udah dikenal jutaan manusia kek,apa kek,lu bisa jatuh ketanah kapan aja",sihjangan songong sihsimple bangetentah siapamau elunya dikenal jutaan manusia kekapa keklu jatuh ketanah
